Zip Code,Region
879,Lower Mountain
880,Lower Mountain
881,Lower Mountain
882,Lower Mountain
883,Lower Mountain
884,Lower Mountain
590,Upper Mountain
591,Upper Mountain
592,Upper Mountain
593,Upper Mountain
594,Upper Mountain
595,Upper Mountain
596,Upper Mountain
597,Upper Mountain
598,Upper Mountain
599,Upper Mountain
820,Upper Mountain
821,Upper Mountain
822,Upper Mountain
823,Upper Mountain
824,Upper Mountain
825,Upper Mountain
826,Upper Mountain
827,Upper Mountain
828,Upper Mountain
829,Upper Mountain
830,Upper Mountain
831,Upper Mountain
832,Upper Mountain
833,Upper Mountain
834,Upper Mountain
835,Upper Mountain
836,Upper Mountain
837,Upper Mountain
838,Upper Mountain
889,Upper Mountain
890,Upper Mountain
891,Upper Mountain
893,Upper Mountain
894,Upper Mountain
895,Upper Mountain
897,Upper Mountain
898,Upper Mountain
900,California
901,California
902,California
903,California
904,California
905,California
906,California
907,California
908,California
910,California
911,California
912,California
913,California
914,California
915,California
916,California
917,California
918,California
919,California
920,California
921,California
922,California
923,California
924,California
925,California
926,California
927,California
928,California
930,California
931,California
932,California
933,California
934,California
935,California
936,California
937,California
938,California
939,California
940,California
941,California
942,California
943,California
944,California
945,California
946,California
947,California
948,California
949,California
950,California
951,California
952,California
953,California
954,California
955,California
956,California
957,California
958,California
959,California
960,California
961,California
970,Pacific Northwest
971,Pacific Northwest
972,Pacific Northwest
973,Pacific Northwest
974,Pacific Northwest
975,Pacific Northwest
976,Pacific Northwest
977,Pacific Northwest
978,Pacific Northwest
979,Pacific Northwest
980,Pacific Northwest
981,Pacific Northwest
982,Pacific Northwest
983,Pacific Northwest
984,Pacific Northwest
985,Pacific Northwest
986,Pacific Northwest
988,Pacific Northwest
989,Pacific Northwest
990,Pacific Northwest
991,Pacific Northwest
992,Pacific Northwest
993,Pacific Northwest
994,Pacific Northwest
